
> jingxin@0.1.0 corpus:gen
> tsx scripts/gen-corpus.ts --resume

Generated G104n2277: juans=1 blocks=76
Generated G104n2278: juans=1 blocks=28
Generated G104n2279: juans=1 blocks=27
Generated G104n2280: juans=1 blocks=205
Generated G104n2281: juans=1 blocks=130
Generated G104n2282: juans=1 blocks=12
Generated G104n2283: juans=1 blocks=195
Generated G104n2284: juans=1 blocks=15
Generated G114n2302: juans=8 blocks=2864
Generated G115n2302: juans=15 blocks=7302
Generated G116n2302: juans=15 blocks=7203
Generated G117n2302: juans=15 blocks=6166
Generated G118n2302: juans=15 blocks=5508
Generated G148n2517: juans=1 blocks=7
Generated G148n2518: juans=1 blocks=15
Generated G150n2550: juans=1 blocks=70
Generated G150n2551: juans=3 blocks=16
Generated G151n2559: juans=1 blocks=312
Generated G155n2589: juans=2 blocks=234
Generated G155n2590: juans=13 blocks=4101
Generated G157n2594: juans=1 blocks=428
Generated G157n2600: juans=1 blocks=18
Generated G157n2601: juans=2 blocks=427
Generated G160n2619: juans=1 blocks=25
Generated GA001n0002: juans=6 blocks=249
Progress 350/4602 blocks=290786 skipped=0 errors=0
Generated GA001n0003: juans=5 blocks=422
Generated GA001n0004: juans=8 blocks=143
Generated GA002n0005: juans=2 blocks=1145
Generated GA009n0008: juans=6 blocks=783
Generated GA010n0009: juans=12 blocks=2073
Generated GA011n0010: juans=8 blocks=240
Generated GA012n0010: juans=2 blocks=369
Generated GA012n0011: juans=12 blocks=411
Generated GA013n0012: juans=4 blocks=704
Generated GA014n0012: juans=6 blocks=1020
Generated GA015n0013: juans=8 blocks=574
Generated GA015n0014: juans=6 blocks=317
Generated GA016n0015: juans=10 blocks=941
Generated GA020n0017: juans=11 blocks=383
Generated GA020n0018: juans=1 blocks=178
Generated GA021n0019: juans=8 blocks=1218
Generated GA022n0020: juans=12 blocks=1192
Generated GA023n0021: juans=8 blocks=1321
Generated GA024n0022: juans=8 blocks=654
Generated GA025n0023: juans=8 blocks=861
Generated GA026n0024: juans=15 blocks=1385
Generated GA027n0025: juans=7 blocks=690
Generated GA029n0028: juans=12 blocks=922
Generated GA030n0029: juans=4 blocks=495
Generated GA030n0030: juans=4 blocks=329
Generated GA030n0031: juans=2 blocks=60
Generated GA031n0032: juans=5 blocks=763
Generated GA032n0032: juans=9 blocks=1159
Generated GA035n0036: juans=5 blocks=171
Generated GA036n0037: juans=2 blocks=374
Generated GA037n0037: juans=3 blocks=687
Generated GA040n0040: juans=9 blocks=772
Generated GA042n0042: juans=18 blocks=559
Generated GA043n0043: juans=3 blocks=548
Generated GA043n0044: juans=1 blocks=25
Generated GA043n0045: juans=1 blocks=96
Generated GA043n0046: juans=1 blocks=272
Generated GA044n0047: juans=2 blocks=300
Generated GA044n0048: juans=3 blocks=246
Generated GA045n0049: juans=8 blocks=969
Generated GA052n0055: juans=5 blocks=349
Generated GA053n0057: juans=6 blocks=2084
Generated GA056n0059: juans=9 blocks=617
Generated GA056n0060: juans=7 blocks=335
Generated GA058n0062: juans=1 blocks=248
Generated GA058n0063: juans=6 blocks=358
Generated GA059n0064: juans=3 blocks=951
Generated GA060n0065: juans=4 blocks=647
Generated GA072n0077: juans=8 blocks=1566
Generated GA079n0081: juans=8 blocks=1149
Progress 400/4602 blocks=324861 skipped=0 errors=0
Generated GA081n0084: juans=6 blocks=961
Generated GA082n0084: juans=4 blocks=501
Generated GA084n0086: juans=8 blocks=878
Generated GA088n0089: juans=7 blocks=1113
Generated GA089n0089: juans=11 blocks=1060
Generated GA090n0089: juans=11 blocks=950
Generated GB078n0109: juans=3 blocks=167
Generated I01n0001: juans=1 blocks=3
Generated I01n0002: juans=1 blocks=6
Generated I01n0003: juans=1 blocks=1
Generated I01n0004: juans=1 blocks=1
Generated I01n0005: juans=1 blocks=2
Generated I01n0006: juans=1 blocks=4
Generated I01n0007: juans=1 blocks=5
Generated I01n0008: juans=1 blocks=1
Generated I01n0009: juans=1 blocks=4
Generated I01n0010: juans=1 blocks=8
Generated I01n0011: juans=1 blocks=7
Generated I01n0012: juans=1 blocks=2
Generated I01n0013: juans=1 blocks=5
Generated I01n0014: juans=1 blocks=8
Generated I01n0015: juans=1 blocks=1
Generated I01n0016: juans=1 blocks=5
Generated I01n0017: juans=1 blocks=4
Generated I01n0018: juans=1 blocks=5
Generated I01n0019: juans=1 blocks=4
Generated I01n0020: juans=1 blocks=4
Generated I01n0021: juans=1 blocks=3
Generated I01n0022: juans=1 blocks=1
Generated I01n0023: juans=1 blocks=1
Generated I01n0024: juans=1 blocks=1
Generated I01n0025: juans=1 blocks=1
Generated I01n0026: juans=1 blocks=1
Generated I01n0027: juans=1 blocks=2
Generated I01n0028: juans=1 blocks=1
Generated I01n0029: juans=1 blocks=10
Generated I01n0030: juans=1 blocks=4
Generated I01n0031: juans=1 blocks=4
Generated I01n0032: juans=1 blocks=2
Generated I01n0033: juans=1 blocks=2
Generated I01n0034: juans=1 blocks=2
Generated I01n0035: juans=1 blocks=3
Generated I01n0036: juans=1 blocks=1
Generated I01n0037: juans=1 blocks=4
Generated I01n0038: juans=1 blocks=4
Generated I01n0039: juans=1 blocks=3
Generated I01n0040: juans=1 blocks=4
Generated I01n0041: juans=1 blocks=2
Generated I01n0042: juans=1 blocks=11
Generated I01n0043: juans=1 blocks=2
Progress 450/4602 blocks=330640 skipped=0 errors=0
Generated I01n0044: juans=1 blocks=3
Generated I01n0045: juans=1 blocks=7
Generated I01n0046: juans=1 blocks=2
Generated I01n0047: juans=1 blocks=1
Generated I01n0048: juans=1 blocks=4
Generated I01n0049: juans=1 blocks=5
Generated I01n0050: juans=1 blocks=8
Generated I01n0051: juans=1 blocks=5
Generated I01n0052: juans=1 blocks=6
Generated I01n0053: juans=1 blocks=4
Generated I01n0054: juans=1 blocks=2
Generated I01n0055: juans=1 blocks=2
